channel,id,url,timespan,text,image,likes,comments,shares
NBCNews,4220012078018790,https://m.facebook.com/story.php?story_fbid=4220012078018790&id=155869377766434,15.901388888888887,"3 missing Virginia children believed to be in extreme danger, father arrested",1.0,179.0,38.0,235
NBCNews,4219917081361623,https://m.facebook.com/story.php?story_fbid=4219917081361623&id=155869377766434,16.700833333333332,"College admissions scandal: Ex-UCLA coach to plead guilty to taking $200,000 for fake recruits",1.0,92.0,11.0,16
NBCNews,4219661088053889,https://m.facebook.com/story.php?story_fbid=4219661088053889&id=155869377766434,18.58388888888889,Tyson Foods suspends its largest pork plant amid Iowa outbreak,1.0,562.0,150.0,819
NBCNews,4219502804736384,https://m.facebook.com/story.php?story_fbid=4219502804736384&id=155869377766434,19.668333333333333,At least 474 more confirmed COVID-19 deaths in New York state,1.0,82.0,57.0,55
NBCNews,4218815944805070,https://m.facebook.com/story.php?story_fbid=4218815944805070&id=155869377766434,23.684722222222227,"In a tiny explosion of birth, coral scientists see hope for endangered reefs",1.0,385.0,15.0,91
NBCNews,4218766711476660,https://m.facebook.com/story.php?story_fbid=4218766711476660&id=155869377766434,0.03222222222222222,Britain's lawmakers hold weekly Prime Minister's Questions on Zoom,1.0,29.0,0.0,4
NBCNews,4218740328145965,https://m.facebook.com/story.php?story_fbid=4218740328145965&id=155869377766434,0.20055555555555554,Panda Express employees say they've faced racism amid coronavirus pandemic,1.0,94.0,157.0,69
NBCNews,4218584798161518,https://m.facebook.com/story.php?story_fbid=4218584798161518&id=155869377766434,1.4511111111111108,"Financial doomsday: State, local governments face layoffs, service cuts, projects derailed",1.0,33.0,27.0,18
NBCNews,4218419484844716,https://m.facebook.com/story.php?story_fbid=4218419484844716&id=155869377766434,2.700833333333333,142 Italian doctors have died of COVID-19,1.0,101.0,29.0,193
NBCNews,4218355911517740,https://m.facebook.com/story.php?story_fbid=4218355911517740&id=155869377766434,3.299166666666667,Coronavirus live updates: First U.S. death happened earlier than previously believed,1.0,31.0,12.0,22
NBCNews,4218286978191300,https://m.facebook.com/story.php?story_fbid=4218286978191300&id=155869377766434,4.017222222222221,Barr calls stay-at-home orders 'disturbingly close to house arrest',1.0,124.0,171.0,70
NBCNews,4218269514859713,https://m.facebook.com/story.php?story_fbid=4218269514859713&id=155869377766434,4.216666666666667,Watch: Jellyfish glides along Venetian canal as water transparency improves,1.0,142.0,9.0,41
NBCNews,4218072104879454,https://m.facebook.com/story.php?story_fbid=4218072104879454&id=155869377766434,6.2666666666666675,Czech National Ballet dancers return to work in face masks,1.0,36.0,10.0,16
NBCNews,4217943848225613,https://m.facebook.com/story.php?story_fbid=4217943848225613&id=155869377766434,7.615277777777778,China calls for end of blaming and 'finger-pointing',1.0,100.0,82.0,38
NBCNews,4217767181576613,https://m.facebook.com/story.php?story_fbid=4217767181576613&id=155869377766434,9.265833333333333,How to quickly pay off debt and build a 'wealth snowball',1.0,36.0,19.0,20
NBCNews,4217665334920131,https://m.facebook.com/story.php?story_fbid=4217665334920131&id=155869377766434,10.031111111111109,"Cyndi Lauper, Troye Sivan, Michelle Visage to appear at Stonewall benefit concert",1.0,127.0,5.0,11
NBCNews,4217631674923497,https://m.facebook.com/story.php?story_fbid=4217631674923497&id=155869377766434,10.282222222222222,Call to prayer to be broadcast in Minneapolis neighborhood during Ramadan,1.0,200.0,67.0,60
NBCNews,4217530121600319,https://m.facebook.com/story.php?story_fbid=4217530121600319&id=155869377766434,11.086388888888886,"Stacey Abrams slams Georgia governor over decision to reopen businesses this week
NBCBLK
21 April at 19:01 ·
Stacey Abrams denounces Georgia Gov. Kemp's decision to allow a number of businesses to reopen this week: “There's nothing about this that makes sense.""",1.0,734.0,122.0,115
NBCNews,4217234398296558,https://m.facebook.com/story.php?story_fbid=4217234398296558&id=155869377766434,13.191388888888891,Does Trump have the authority to halt immigration?,1.0,178.0,226.0,156
NBCNews,4217151981638133,https://m.facebook.com/story.php?story_fbid=4217151981638133&id=155869377766434,13.777777777777779,"Trump and Cuomo, occasionally combative, hold 'productive' meeting on coronavirus",1.0,202.0,85.0,68
NBCNews,4216730281680303,https://m.facebook.com/story.php?story_fbid=4216730281680303&id=155869377766434,16.808888888888887,"21 April at 13:54 ·
LIVE: This week on #IntoAmerica: What do a famous DJ, an indie musician, and an all-girls choir have in common? It’s simple: a love of music. Trymaine Lee explores the uniting power of music during quarantine. Listen to the full episode—> https://link.chtbl.com/obvkRMCh?sid=facebook",0.0,22.0,3.0,1
NBCNews,4216641548355843,https://m.facebook.com/story.php?story_fbid=4216641548355843&id=155869377766434,17.421666666666667,"Congress reaches deal on coronavirus relief bill, which Trump is expected to sign",1.0,511.0,93.0,258
NBCNews,4216144755072189,https://m.facebook.com/story.php?story_fbid=4216144755072189&id=155869377766434,20.86611111111111,"Schumer says White House, Dems have deal on money for small businesses, hospitals, testing",1.0,2710.0,404.0,961
NBCNews,4216086281744703,https://m.facebook.com/story.php?story_fbid=4216086281744703&id=155869377766434,21.183888888888887,"Cyndi Lauper, Troye Sivan, Michelle Visage to appear at Stonewall benefit concert",1.0,80.0,12.0,9
NBCNews,4215942815092383,https://m.facebook.com/story.php?story_fbid=4215942815092383&id=155869377766434,22.08388888888889,"7 Wisconsin virus cases linked to in-person voting, officials say",1.0,342.0,331.0,1050
NBCNews,4215857788434219,https://m.facebook.com/story.php?story_fbid=4215857788434219&id=155869377766434,22.666944444444447,A 4/20 pot party in NYC busted after tip on social-distancing violations,1.0,97.0,67.0,67
NBCNews,4215741538445844,https://m.facebook.com/story.php?story_fbid=4215741538445844&id=155869377766434,23.433611111111112,'It's coming for you': Detroit 5-year-old dies of coronavirus; parents try to warn others,1.0,68.0,84.0,341
NBCNews,4215563435130321,https://m.facebook.com/story.php?story_fbid=4215563435130321&id=155869377766434,0.6436111111111111,Muted celebrations as Queen Elizabeth II turns 94,1.0,1132.0,185.0,229
NBCNews,4215249535161711,https://m.facebook.com/story.php?story_fbid=4215249535161711&id=155869377766434,3.3008333333333333,Clinical trials underway in race for coronavirus vaccine,1.0,114.0,25.0,47
NBCNews,4215222131831118,https://m.facebook.com/story.php?story_fbid=4215222131831118&id=155869377766434,3.516388888888889,Facebook releases county-by-county maps of COVID-19 symptoms,1.0,22.0,7.0,19
NBCNews,4215145751838756,https://m.facebook.com/story.php?story_fbid=4215145751838756&id=155869377766434,4.116944444444443,Munich's Oktoberfest cancelled due to coronavirus concerns,1.0,123.0,14.0,57
NBCNews,4215125638507434,https://m.facebook.com/story.php?story_fbid=4215125638507434&id=155869377766434,4.331666666666667,Coronavirus live updates: Trump says he is suspending immigration over coronavirus,1.0,41.0,28.0,15
NBCNews,4215060158513982,https://m.facebook.com/story.php?story_fbid=4215060158513982&id=155869377766434,4.951388888888889,"Tom Brady caught working out at Tampa park closed because of coronavirus, mayor says",1.0,57.0,45.0,21
NBCNews,4214839055202759,https://m.facebook.com/story.php?story_fbid=4214839055202759&id=155869377766434,7.405277777777778,"West Virginia plan to test all nursing home residents, staff, begins",1.0,191.0,17.0,39
NBCNews,4214771408542857,https://m.facebook.com/story.php?story_fbid=4214771408542857&id=155869377766434,8.106111111111113,'It's like New Year's every day' as wine sales and weed deliveries spike,1.0,119.0,18.0,84
NBCNews,4214643591888972,https://m.facebook.com/story.php?story_fbid=4214643591888972&id=155869377766434,9.1725,Navajo Nation braces for a surge of coronavirus cases,1.0,175.0,66.0,445
NBCNews,4214589041894427,https://m.facebook.com/story.php?story_fbid=4214589041894427&id=155869377766434,9.658888888888887,Opinion | How to prevent coronavirus from becoming a tool of the patriarchy,1.0,42.0,15.0,12
NBCNews,4214489231904408,https://m.facebook.com/story.php?story_fbid=4214489231904408&id=155869377766434,10.300833333333333,Here's how the coronavirus may damage kidneys,1.0,149.0,31.0,455
NBCNews,4214399928580005,https://m.facebook.com/story.php?story_fbid=4214399928580005&id=155869377766434,10.950555555555557,Texas councilman and his husband die days apart from coronavirus,1.0,280.0,212.0,656
NBCNews,4214308738589124,https://m.facebook.com/story.php?story_fbid=4214308738589124&id=155869377766434,11.615833333333333,Los Angeles schools have served 10 million meals during lockdown,1.0,335.0,14.0,77
NBCNews,4214245215262143,https://m.facebook.com/story.php?story_fbid=4214245215262143&id=155869377766434,12.1125,"Nurses protest working coronavirus conditions, say hospitals aren't protecting them",1.0,450.0,65.0,255
NBCNews,4213901808629817,https://m.facebook.com/story.php?story_fbid=4213901808629817&id=155869377766434,14.781666666666665,"Disney furloughs 100,000 theme park and hotel workers amid coronavirus shutdown",1.0,645.0,97.0,508
NBCNews,4213804661972865,https://m.facebook.com/story.php?story_fbid=4213804661972865&id=155869377766434,15.600833333333336,"No deal yet: Ocasio-Cortez, House progressives criticize interim coronavirus bill",1.0,240.0,115.0,159
NBCNews,4213506355336029,https://m.facebook.com/story.php?story_fbid=4213506355336029&id=155869377766434,17.605277777777783,Oil plunges to just one cent a barrel,1.0,4624.0,1024.0,5996
NBCNews,4213483475338317,https://m.facebook.com/story.php?story_fbid=4213483475338317&id=155869377766434,17.746666666666666,"Ten years after Deepwater disaster, scientists and activists worry no lessons have been learned",1.0,110.0,30.0,58
NBCNews,4212840448735953,https://m.facebook.com/story.php?story_fbid=4212840448735953&id=155869377766434,22.067222222222227,Health care workers stand against protestors opposing coronavirus lockdown in Colorado,1.0,6212.0,1708.0,9257
